Name,URL,Price,Neighborhood
Presidio Heights Pleasure | 5 BD+3.5 BA | Unfurish SFR | Deck+Yard+Pkg,http://sfbay.craigslist.org/sfc/apa/5588039691.html,$14995,laurel hts / presidio
Inner Sunset | 3 Bed 2 Ba | Ocean View | Garage | Yard | ReLISTO,http://sfbay.craigslist.org/sfc/apa/5600727557.html,$6000,inner sunset / UCSF
"Noe Valley Home, Yard, Hdwd Flrs, W/D & 2 Car Pkg!",http://sfbay.craigslist.org/sfc/apa/5592575913.html,$6500,noe valley
"Lovely, 3bd/2bth, 2-story, Flat w/Private Yard!!!",http://sfbay.craigslist.org/sfc/apa/5573693073.html,$7500,inner richmond
HUGE VICTORIAN FLAT 3-4BD/Split Bath/Patio/Yard/Pkg/FREE LNDRY!!,http://sfbay.craigslist.org/sfc/apa/5592580855.html,$6250,pacific heights
"Top floor, furnished, hardwood, pking, yard, available 6/15",http://sfbay.craigslist.org/sfc/apa/5581060279.html,$5950,noe valley
"Remodeled Top Floor Flat w/ Gourmet Kitchen, W/D and Yard! ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5599736419.html,$5995,cole valley / ashbury hts
Top Floor Two Level Remodeled Unit w/ Laundry & Yard,http://sfbay.craigslist.org/sfc/apa/5568914555.html,$5100,inner richmond
"3BR/2BA Unforgetable Views, back yard, furnished, available 6/1",http://sfbay.craigslist.org/sfc/apa/5599595201.html,$6000,cole valley / ashbury hts
Contemporary Home with Large Yard in Laurel Heights,http://sfbay.craigslist.org/sfc/apa/5565766181.html,$8500,laurel hts / presidio
Balboa Terrace / St. Francis Wood. 4-7 BRs. Ocean View. Garage. Yard.,http://sfbay.craigslist.org/sfc/apa/5598776347.html,$9000,west portal / forest hill
Classic & Updated 3 Bed/2 Bath--Two Levels--Parking-W/D-Yard---PARAGON,http://sfbay.craigslist.org/sfc/apa/5579814010.html,$6900,marina / cow hollow
"Remodeled Top Floor Flat w/ Gourmet Kitchen, W/D and Yard! ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5596105901.html,$5995,cole valley / ashbury hts
One of a Kind Home in Forest Hill w/Spacious Yard!,http://sfbay.craigslist.org/sfc/apa/5550103506.html,$11000,west portal / forest hill
